번호,상호,도로명주소,지번주소,좌표
7301,로또야놀자,경북 경주시 양정로 211,경북 경주시 동천동 599-1번지,"129.2240116,35.8515068"
7302,퓨전로또판매점성동점,경북 경주시 원화로 291,경북 경주시 성동동 80번지,"129.2170205,35.8465848"
7303,세븐일레븐 포항해도코리아점,경북 포항시 남구 문예로 125,경북 포항시 남구 해도동 78-30번지,"129.3676423,36.0179167"
7304,성심상회,경북 포항시 북구 불종로 78,경북 포항시 북구 중앙동 41번지,"129.3680007,36.0381446"
7305,신라슈퍼,경북 포항시 남구 동해면 일월로 112,경북 포항시 남구 동해면 약전리 401-4번지,"129.4453563,35.9879065"
7306,파워할인마트,경북 김천시 자산로 44-2 ,경북 김천시 모암동 141-6,"128.1268496,36.1197482"
7307,한남체인부곡쇼핑,경북 김천시 가메실4길 6-5 ,경북 김천시 부곡동 428-4,"128.1031362,36.1236337"
7308,구담쌀슈퍼,경북 안동시 경동로 908,경북 안동시 용상동 1179-67번지,"128.7545028,36.5569623"
7309,IMT통신(아이나비),경북 칠곡군 칠곡대로 1485 ,경북 칠곡군 왜관읍 왜관리 826-2,"128.3983552,35.9799883"
7310,웃는사람들해도점,경북 포항시 남구 해동로 62 ,경북 포항시 남구 해도동 436-17,"129.3731271,36.0249843"
7311,NG24,경북 칠곡군 석적읍 북중리3길 59,경북 칠곡군 석적읍 중리 86-8번지,"128.4118482,36.0798040"
7312,KOREA마트,경북 구미시 임은길 64,경북 구미시 임은동 377-2,"128.3695609,36.0889478"
7313,이마트24구미황상점,경북 구미시 수출대로 555,경북 구미시 인의동 827-19번지,"128.4257241,36.1108945"
7314,코리아25옥계점,경북 구미시 산호대로25길 18-4,경북 구미시 옥계동 635-2번지,"128.4164898,36.1383561"
7315,코리아25시,경북 구미시 형곡동로 115,경북 구미시 형곡동 146-2번지,"128.3359143,36.1125668"
7316,씨스페이스 구미옥계 대박점,경북 구미시 흥안로 35,경북 구미시 옥계동 545,"128.4143752,36.1471757"
7317,미니풀 복권판매점,경북 구미시 상사서로 81,경북 구미시 상모동 19-4,"128.3549609,36.0898083"
7318,GS25구미형곡 스타점,경북 구미시 형곡로34길 4,경북 구미시 형곡동 322-6,"128.3377361,36.1070225"
7319,왕산마트,경북 경주시 원효로 49,경북 경주시 성건동 342-14번지,"129.2062907,35.8423375"
7320,안동슈퍼,경북 안동시 경동로 669-3,경북 안동시 남부동 236-15번지,"128.7310907,36.5633346"
7321,로터리편의마트,경북 포항시 북구 서동로 85 ,경북 포항시 북구 덕산동 113-11,"129.3672476,36.0407439"
7322,토권판매소,경북 경산시 대학로 67 ,경북 경산시 정평동 255-137,"128.7300523,35.8345936"
7323,토큰판매소,경북 경산시 중앙로 78 ,경북 경산시 중방동 538-14,"128.7355000,35.8228687"
7324,토큰판매,경북 경산시 대학로 291,경북 경산시 대동 168-1번지,"128.7537516,35.8371534"
7325,대박신화,경북 포항시 남구 양학천로 178,경북 포항시 남구 대도동 1-1번지,"129.3644363,36.0275425"
7326,동아문구센타,경북 구미시 산호대로29길 13-19,경북 구미시 옥계동 831-3번지,"128.4181668,36.1381390"
7327,대박복권,경북 포항시 남구 정몽주로 633,경북 포항시 남구 오천읍 용덕리 338-4번지,"129.4142112,35.9744469"
7328,팬더복권,경북 포항시 남구 충무로 39-1,경북 포항시 남구 오천읍 용덕리 395-3,"129.4141230,35.9763308"
7329,대박수호통신,경북 포항시 남구 문덕로 3 ,경북 포항시 남구 오천읍 문덕리 231-1,"129.4032988,35.9622625"
7330,영화유통,경북 포항시 북구 양학천로 15,경북 포항시 북구 죽도동 623-21번지,"129.3539149,36.0237321"
7331,그린시스템,경북 경주시 원효로 148,경북 경주시 황오동 115-24번지,"129.2170537,35.8417045"
7332,로또복권 황성점,경북 경주시 황성로27번길 2 ,경북 경주시 황성동 472-8,"129.2144027,35.8657634"
7333,양지서점,경북 김천시 평화길 152,경북 김천시 평화동 300-31번지,"128.1145477,36.1226906"
7334,홈마트&행운복권방,경북 김천시 대학로 100,경북 김천시 교동 812-4번지,"128.0936747,36.1362610"
7335,동양정보통신,경북 김천시 김천로 78,경북 김천시 평화동 245-83번지,"128.1110763,36.1252092"
7336,승주복권방,경북 문경시 중앙로 79-1,경북 문경시 점촌동 187-8,"128.1970669,36.5927955"
7337,영화마을흥해점,경북 포항시 북구 흥해로 26,경북 포항시 북구 흥해읍 남성리 249번지,"129.3450702,36.1078270"
7338,행운로또방,경북 구미시 인동가산로 25 ,경북 구미시 황상동 318-5,"128.4196436,36.1066181"
7339,행운의집제1호점,경북 안동시 영가로 24,경북 안동시 동부동 75-3번지,"128.7333293,36.5651554"
7340,로또천국건천점,경북 경주시 내서로 1118,경북 경주시 건천읍 건천리 293-1번지,"129.1034106,35.8492366"
7341,로또무비샵,경북 경주시 초당길141번길 16,경북 경주시 동천동 897-8번지,"129.2312733,35.8487224"
7342,억복권방,경북 경주시 충효녹지길 144 경주랜드공인중개사,경북 경주시 충효동 2927-2,"129.1756298,35.8451250"
7343,천하명당(용강점),경북 경주시 유림로 60,경북 경주시 황성동 221-8,"129.2171786,35.8695378"
7344,불국사명당복권,경북 경주시 산업로 3033 ,경북 경주시 구정동 631-16,"129.2981534,35.7765117"
7345,복권명당,경북 문경시 중앙3길 1,경북 문경시 점촌동 271-27번지,"128.2007729,36.5943408"
7346,홈런복권방,경북 영덕군 영덕읍 남석길 57,경북 영덕군 영덕읍 남석리 52-10번지,"129.3682213,36.4091008"
7347,영덕로또복권,경북 영덕군 덕곡길 128,경북 영덕군 영덕읍 남석리 216-5번지,"129.3656382,36.4129178"
7348,SKY정보통신,경북 청도군 청도읍 청화로 140,경북 청도군 청도읍 고수리 478-153번지,"128.7414452,35.6445333"
7349,복운당로또복권청도점,경북 청도군 중앙로  5,경북 청도군 청도읍 고수리 800-4,"128.7450474,35.6428529"
7350,효자로또복권,경북 포항시 남구 효자로118번길 16,경북 포항시 남구 효자동 190번지,"129.3380603,36.0094063"
7351,진우복권명당,경북 경산시 경산로15길 1-11,경북 경산시 옥곡동 815-6번지,"128.7311835,35.8152968"
7352,경산상회,경북 경산시 경안로 145,경북 경산시 삼북동 272-20,"128.7377448,35.8205220"
7353,아참로또,경북 경산시 경안로 5,경북 경산시 백천동 63-8번지,"128.7405008,35.8083864"
7354,비산강변파라디아복권,경북 구미시 신비로 95,경북 구미시 공단동 759,"128.3719340,36.1207813"
7355,로또복권애니타임점,경북 구미시 인동중앙로11길 24,경북 구미시 황상동 303-1번지,"128.4200063,36.1090288"
7356,홀인원복권방,경북 구미시 옥계2공단로 272 ,경북 구미시 구포동 674-1,"128.4164891,36.1298053"
7357,명덕사 복권판매점,경북 구미시 봉곡남로 77,경북 구미시 봉곡동 303-3번지,"128.3108811,36.1489641"
7358,씨스페이스 구미산동휴게점,경북 구미시 신당1로4길 3,경북 구미시 산동읍 신당리 1416,"128.4299387,36.1543692"
7359,스타마트,경북 구미시 임은길 15,경북 구미시 임은동 325-2번지,"128.3645942,36.0875209"
7360,복권천하명당(선산점),경북 구미시 남문로4길 19 ,경북 구미시 선산읍 동부리 336,"128.3037208,36.2410751"
7361,일등복권,경북 구미시 신시로10길  80,경북 구미시 송정동 482-11,"128.3474166,36.1156974"
7362,로또판매점,경북 상주시 상서문로 59,경북 상주시 남성동 36-17번지,"128.1558626,36.4152316"
7363,로또복권대박,경북 상주시 상산로 338,경북 상주시 냉림동 353-4번지,"128.1592453,36.4209647"
7364,로또복권판매,경북 상주시 삼백로 159,경북 상주시 서성동 28-3번지,"128.1611031,36.4189567"
7365,로또기획,경북 안동시 경북대로 443,경북 안동시 옥동 993-1번지,"128.6978586,36.5680997"
7366,동일설비 명성복권,경북 안동시 경동로 913,경북 안동시 용상동 1162-2번지,"128.7553732,36.5569160"
7367,에버빌마트,경북 안동시 강남5길 102,경북 안동시 정하동 240-2,"128.7305763,36.5504444"
7368,천하명당,경북 안동시 태화중앙로 101,경북 안동시 태화동 242-43,"128.7136279,36.5613951"
7369,다줄래상회,경북 울릉군 도동길 83 ,경북 울릉군 울릉읍 도동리 313-1,"130.9069666,37.4834155"
7370,울릉로또,경북 울릉군 봉래2길 32-14 ,경북 울릉군 울릉읍 도동리 317-1,"130.9094473,37.4940145"
7371,일등복권,경북 칠곡군 동명면 금암중앙길 42,경북 칠곡군 동명면 금암리 231-48번지,"128.5536412,35.9825449"
7372,로또복권,경북 포항시 북구 용두산길 31 ,경북 포항시 북구 장성동 1353-1,"129.3810684,36.0664552"
7373,포항복권방,경북 포항시 북구 선착로 31,경북 포항시 북구 대신동 15-17번지,"129.3668897,36.0487255"
7374,나눔로또,경북 포항시 북구 장량로 55 ,경북 포항시 북구 장성동 1378-7,"129.3864251,36.0827917"
7375,로또복권보성점,경북 포항시 북구 용흥로 126,경북 포항시 북구 용흥동 528번지,"129.3482061,36.0391308"
7376,복돼지복권방,경북 경산시 청운2로 43-1,경북 경산시 임당동 645-11,"128.7533490,35.8411882"
7377,로또복권,경북 김천시 신음새동네길 13 ,경북 김천시 신음동 462-24,"128.1184900,36.1347824"
7378,씨스페이스 김천다원점,경북 김천시 영남대로 1953,경북 김천시 지좌동 440-159번지,"128.1435480,36.1192488"
7379,스마일복권방,경북 김천시 영남대로 2087,경북 김천시 덕곡동 698,"128.1565213,36.1151418"
7380,일화로또,경북 영양군 영양읍 중앙로 124,경북 영양군 영양읍 서부리 237-3번지,"129.1138896,36.6642780"
7381,광시당,경북 영주시 원당로 121,경북 영주시 하망동 422-42번지,"128.6271552,36.8226185"
7382,치산로또명당,경북 영천시 충효로 118,경북 영천시 야사동 335-6번지,"128.9415705,35.9750736"
7383,억수대복권,경북 울진군 읍내2길 13-3 ,경북 울진군 울진읍 읍내리 60-6,"129.4019818,36.9917195"
7384,광포로또복권,경북 울진군 죽변북로 154 ,경북 울진군 죽변면 후정리 641-12,"129.4103336,37.0676664"
7385,중앙로또,경북 칠곡군 북삼로 41 ,경북 칠곡군 북삼읍 인평리 1057-5,"128.3428366,36.0714748"
7386,더리터경북왜관점로또명당,경북 칠곡군 중앙로 95 ,경북 칠곡군 왜관읍 왜관리 779-13,"128.3983973,35.9833762"
7387,NJOY로또텔레콤,경북 포항시 남구 상공로 42,경북 포항시 남구 상도동 635-4번지,"129.3566084,36.0122056"
7388,신일로또,경북 포항시 남구 송도로 42 ,경북 포항시 남구 송도동 439-22,"129.3758157,36.0332032"
7389,남부로또점,경북 포항시 남구 희망대로 811-1 ,경북 포항시 남구 대도동 169-23,"129.3616615,36.0100618"
7390,인생로또 새천년점 ,경북 포항시 북구 새천년대로 1063 ,경북 포항시 북구 창포동 642-1,"129.3710089,36.0637376"
7391,로또복권,경북 포항시 북구 양학로32번길 3,경북 포항시 북구 학잠동 38-39번지,"129.3506669,36.0266438"
7392,로또복권,경북 경산시 중방로 28 ,경북 경산시 중방동 830-23,"128.7372943,35.8299695"
7393,로또대박,경북 경산시 공단로 500 ,경북 경산시 진량읍 신상리 675-5,"128.8193958,35.8760560"
7394,효원복권방,경북 경산시 공단4로 145 ,경북 경산시 진량읍 신상리 1199-2,"128.8281746,35.8702413"
7395,로또경주고속점,경북 경주시 태종로 695,경북 경주시 노서동 170-5번지,"129.2041814,35.8387135"
7396,로또,경북 경주시 황성로69번길 27-1,경북 경주시 황성동 550-1번지,"129.2155145,35.8695151"
7397,로또한방 ,경북 경주시 황성로 66,경북 경주시 황성동 241-1,"129.2176990,35.8678258"
7398,보석당,경북 봉화군 내성로1길 61 보석당,경북 봉화군 봉화읍 내성리 240-7,"128.7396161,36.8911665"
7399,행운복권방(야사점),경북 영천시 호국로 55-3,경북 영천시 야사동 172-23번지,"128.9438458,35.9734914"
7400,cu북면점로또복권방,경북 울진군 울진북로 2112 CU북면점,경북 울진군 북면 부구리 164-2,"129.3744014,37.1046538"
7401,유성로또복권,경북 울진군 죽변북로 24 하이e스쿨,경북 울진군 죽변면 죽변리 255-5,"129.4210971,37.0615557"
7402,재운로또복권,경북 포항시 북구 아치로 46,경북 포항시 북구 우현동 135-8번지,"129.3570424,36.0510795"
7403,로또방양덕점,경북 포항시 북구 양덕로50번길 14,경북 포항시 북구 양덕동 1751,"129.4034959,36.0829430"
7404,로또명당,경북 포항시 북구 삼호로 455,경북 포항시 북구 환호동 510,"129.3977713,36.0699032"
7405,지에스GS오천두배점,경북 포항시 남구 원동로 98,경북 포항시 남구 오천읍 원리 1187,"129.4027991,35.9718284"
7406,1등로또복권방,경북 김천시 자산로 115,경북 김천시 성내동 208-7번지,"128.1194602,36.1209462"
7407,행복마트,경북 김천시 혁신로 185 메타폴리스,경북 김천시 율곡동 781,"128.1839467,36.1175201"
